Time_Dep_h,Debris_Start,Debris_Target,Delta_V1_m_s,Delta_V2_m_s,Travel_Time_h
0.0,0,1,2265.22,2403.32,8.066
0.0,0,2,2108.15,2266.2,6.235
0.0,0,3,2184.78,2298.82,7.533
0.0,1,0,2475.93,2402.99,7.326
0.0,1,2,2155.17,2172.46,8.277
0.0,1,3,1985.93,1984.65,6.257
0.0,2,0,2458.21,2500.45,7.511
0.0,2,1,2026.9,2011.44,6.921
0.0,2,3,2224.5,2208.12,8.126
0.0,3,0,1918.08,1953.92,6.073
0.0,3,1,2064.34,2063.35,7.289
0.0,3,2,2107.11,2125.13,7.159
0.5,0,1,2543.83,2509.07,8.102
0.5,0,2,2361.75,2290.02,6.256
0.5,0,3,2446.95,2444.73,7.607
0.5,1,0,2082.77,2177.59,7.25
0.5,1,2,2204.51,2209.37,8.298
0.5,1,3,1938.86,1960.43,6.241
0.5,2,0,2307.2,2137.87,7.429
0.5,2,1,2068.8,2071.09,6.956
0.5,2,3,2147.35,2170.66,8.105
0.5,3,0,2190.85,2256.21,6.171
0.5,3,1,2126.44,2118.33,7.319
0.5,3,2,2140.77,2119.0,7.16
1.0,0,1,2129.4,2169.88,7.991
1.0,0,2,1952.33,2049.24,6.174
1.0,0,3,2063.78,2109.97,7.456
1.0,1,0,2408.03,2477.19,7.334
1.0,1,2,2141.33,2141.44,8.256
1.0,1,3,1996.1,2005.64,6.266
1.0,2,0,2315.68,2454.78,7.494
1.0,2,1,2070.37,2052.47,6.949
1.0,2,3,2235.5,2239.04,8.136
1.0,3,0,2190.89,2055.12,6.132
1.0,3,1,2080.41,2058.41,7.288
1.0,3,2,2053.4,2068.69,7.132
1.5,0,1,2445.02,2539.92,8.1
1.5,0,2,2284.91,2363.06,6.263
1.5,0,3,2383.81,2455.03,7.607
1.5,1,0,2337.7,2171.24,7.272
1.5,1,2,2191.04,2205.77,8.296
1.5,1,3,1937.15,1937.74,6.228
1.5,2,0,2498.17,2373.16,7.492
1.5,2,1,2036.59,2040.73,6.939
